food_category,land_use,ghg_emissions,acidifying_emissions,eutrophying_emissions,freshwater_withdrawl
Wheat & Rye (Bread),2.7,1.3,13.3,5.4,419
Maize (Meal),1.8,1.2,10.2,2.4,44
Barley (Beer),0.9,1.2,6.1,1.8,7
Oatmeal,7.7,2.6,9.6,10.1,670
Rice,2.2,3.7,18.6,9.3,1575
Potatoes,0.8,0.5,3.6,4.4,3
Cassava,1.3,1.1,3.2,0.7,0
Cane Sugar,1.8,3.2,18,11.2,8
Beet Sugar,1.5,1.8,12.4,4.3,12
Other Pulses,12.2,1.4,19,13.8,0
Peas,6.7,0.8,10.3,1.7,0
Nuts,8.7,-1.3,35,14.5,1823
Groundnuts,7.9,3.3,16.4,17.1,900
Soymilk,0.6,0.9,2.5,1.2,1
Tofu,3.4,2.6,6,6.6,7
Soybean Oil,9.6,3.9,15,14.4,2
Palm Oil,2.4,7.2,17.7,10.3,6
Sunflower Oil,16.3,3.5,19.3,18.9,10
Rapeseed Oil,9.4,3.5,23.2,16.4,1
Olive Oil,17.3,5.1,33.9,39.1,318
Tomatoes,0.2,0.7,5.2,1.9,77
Onions & Leeks,0.3,0.4,3.3,1.6,2
Root Vegetables,0.3,0.4,2.9,1,10
Brassicas,0.3,0.4,8.8,5.7,55
Other Vegetables,0.2,0.4,3.7,1.8,81
Citrus Fruit,0.7,0.3,3.8,1.7,37
Bananas,1.4,0.8,6.1,2.1,1
Apples,0.5,0.4,4,2,115
Berries & Grapes,2.6,1.4,6.9,1,404
Wine,1.6,1.6,10.9,3.8,5
Other Fruit,0.9,0.7,5.4,2.1,4
Coffee,11.9,8.2,87.2,49.9,33
Dark Chocolate,53.8,5,29,67.3,25
Bovine Meat (beef herd),170.4,60.4,270.9,320.7,740
Bovine Meat (dairy herd),25.9,34.1,289.1,140.9,2614
Lamb & Mutton,127.4,40.6,135.2,101.9,461
Pig Meat,13.4,10.6,114.8,53.5,1810
Poultry Meat,11,7.5,64.7,34.5,370
Milk,2.1,2.7,20.6,10.7,197
Cheese,20.2,18.6,173,99.5,1559
Eggs,5.7,4.2,54.2,21.3,633
Fish (farmed),5.6,7.9,40.2,243.6,1581
Crustaceans (farmed),0.8,14.7,107.1,141.3,1208
